	label	par	sentences
769	3	Third-party advertising partners.We have contracted with certain third-party advertising networks that assist us in delivering advertising to you that allows us to continue offering the Games for free or at low cost. Such third-party advertising partners include but are not limited to advertising providers listed at below in Advertising Section of this Privacy Policy.	Third-party advertising partners.We have contracted with certain third-party advertising networks that assist us in delivering advertising to you that allows us to continue offering the Games for free or at low cost.|||Such third-party advertising partners include but are not limited to advertising providers listed at below in Advertising Section of this Privacy Policy.
770	3	Advertising partner’s third-party tracking provider. We allow our advertising partners to track impressions, clicks, installs or other advertising campaign performance indicators through their tracking providers for the purposes of measuring their advertising campaign performance. They may use their own third-party tracking providers.	Advertising partner’s third-party tracking provider.|||We allow our advertising partners to track impressions, clicks, installs or other advertising campaign performance indicators through their tracking providers for the purposes of measuring their advertising campaign performance.|||They may use their own third-party tracking providers.
771	3	Other third-party service providers. For some of our Games, we use Unity Software to develop such Games. For the data processing by Unity please see Unity’s privacy policy available at -url-. For some Games, we partner with third-party development studios to develop such Games. Such third-party development studios do not have access to your personal information, they can only access aggregated data that they cannot trace back to you.	Other third-party service providers.|||For some of our Games, we use Unity Software to develop such Games.|||For the data processing by Unity please see Unity’s privacy policy available at -url-.|||For some Games, we partner with third-party development studios to develop such Games.|||Such third-party development studios do not have access to your personal information, they can only access aggregated data that they cannot trace back to you.
772	3	We may contract with additional Partners or change existing Partners in the future to perform any services in connection with the Games. These changes shall be updated from time to time or promptly in case of material changes in our data processing practices.	We may contract with additional Partners or change existing Partners in the future to perform any services in connection with the Games.|||These changes shall be updated from time to time or promptly in case of material changes in our data processing practices.
773	3	We reserve the right to disclose your information (including personally identifiable information) in response to law, legal process, litigation, and/or requests from public and governmental authorities within or outside your country of residence. We may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, the disclosure is necessary or appropriate. We may also disclose information about you if we determine that disclosure is reasonably necessary to enforce our terms and conditions or to protect our operations, users or user experience. Additionally, in the event of a reorganization, merger or sale we may transfer any and all information (including personally identifiable information) we collect to the relevant third party.	We reserve the right to disclose your information (including personally identifiable information) in response to law, legal process, litigation, and/or requests from public and governmental authorities within or outside your country of residence.|||We may also disclose information about you if we determine that for purposes of national security, law enforcement, or other issues of public importance, the disclosure is necessary or appropriate.|||We may also disclose information about you if we determine that disclosure is reasonably necessary to enforce our terms and conditions or to protect our operations, users or user experience.|||Additionally, in the event of a reorganization, merger or sale we may transfer any and all information (including personally identifiable information) we collect to the relevant third party.
774	3	We use advertising to fund our Services and to make our games available for free. We offer our Games for free or at low cost and in order to do that we need to share information we collect from you with our third-party advertising partners. When you use our Games, we rely on our legitimate interest to show advertisements to you. Before sharing any information with our advertising partners for the purposes of interest-based advertising, we always ask for your consent, given when you accept this Privacy Policy and our Terms of Use at loading of the Game. We allow our advertising partners to show interest-based ads to you only if you have accepted our Terms of use and this Privacy Policy and so consented to the sharing of your personal information for the purposes of interest-based advertising. Our advertising partners use different technologies for the purposes of interest-based advertising that process your personal information in different ways, so please review their data processing practices before you accept this Privacy Policy and our Terms of Use at loading of the Game.	We use advertising to fund our Services and to make our games available for free.|||We offer our Games for free or at low cost and in order to do that we need to share information we collect from you with our third-party advertising partners.|||When you use our Games, we rely on our legitimate interest to show advertisements to you.|||Before sharing any information with our advertising partners for the purposes of interest-based advertising, we always ask for your consent, given when you accept this Privacy Policy and our Terms of Use at loading of the Game.|||We allow our advertising partners to show interest-based ads to you only if you have accepted our Terms of use and this Privacy Policy and so consented to the sharing of your personal information for the purposes of interest-based advertising.|||Our advertising partners use different technologies for the purposes of interest-based advertising that process your personal information in different ways, so please review their data processing practices before you accept this Privacy Policy and our Terms of Use at loading of the Game.
775	5	As a safeguard to protect your privacy, we only store personal information temporarily. Additionally, the user can deactivate interest-based advertising in the device settings as described below. We also ensure that our external service providers are committed to a high level of data protection by concluding data protection agreements. The purpose is to improve our Games and provide the player with more relevant ads. The information collected helps us to improve our websites and Games and – at the same time – keep our Games free for a wide player base. The legal basis is the legitimate interest in accordance with the European data protection requirements under Art. 6 para. 1 lit. f GDPR, which we evaluated together with our data protection officer. In addition, a data processing agreements were concluded with external ad technology providers networks in accordance with the requirements of Art. 28 GDPR.	As a safeguard to protect your privacy, we only store personal information temporarily.|||Additionally, the user can deactivate interest-based advertising in the device settings as described below.|||We also ensure that our external service providers are committed to a high level of data protection by concluding data protection agreements.|||The purpose is to improve our Games and provide the player with more relevant ads.|||The information collected helps us to improve our websites and Games and – at the same time – keep our Games free for a wide player base.|||The legal basis is the legitimate interest in accordance with the European data protection requirements under Art.|||6 para.|||1 lit.|||f GDPR, which we evaluated together with our data protection officer.|||In addition, a data processing agreements were concluded with external ad technology providers networks in accordance with the requirements of Art.|||28 GDPR.
776	4	To enable us to show in-game ads, we may send your advertising ID and IP-address to advertisers (or ad networks) to enable them to find appropriate ads to serve to you in our games and on third-party properties. You can control and limit our use of your advertising ID in your device settings. We do not control which specific ads are shown in our games (it is controlled by ad networks), but we may blacklist certain categories of ads.	To enable us to show in-game ads, we may send your advertising ID and IP-address to advertisers (or ad networks) to enable them to find appropriate ads to serve to you in our games and on third-party properties.|||You can control and limit our use of your advertising ID in your device settings.|||We do not control which specific ads are shown in our games (it is controlled by ad networks), but we may blacklist certain categories of ads.
777	3	Advertising IDs are used by the ad networks for a number of purposes (please refer to the Privacy Notices of our advertising partners listed here) including: ; limit the number of times you see the same ad; ; ensure they are dealing with humans with real devices and not ‘automated’ bots; ; serve you with advertisements likely to be relevant to you based on your advertising ID engagement with other brands and ads, also recorded using your advertising ID and using your general geographic area. Other brands buy advertisement placement via an ad network or ad exchange to advertise their products in Our Games. The ad network or ad exchange acts as intermediary between the other game companies and Us. In order for an ad network to charge the company buying the ad, clicks from the ad and potentially installs of other developers’ applications party apps are tracked. Views, clicks, and installs from ads are measured using Advertiser ID; ; keep track what games you have used to market you similar kind of games. IP-address is typically used by advertisers to broadly see the general geographic area you are coming from for example country, state, and sometimes at city level).	Advertising IDs are used by the ad networks for a number of purposes (please refer to the Privacy Notices of our advertising partners listed here) including: ; limit the number of times you see the same ad; ; ensure they are dealing with humans with real devices and not ‘automated’ bots; ; serve you with advertisements likely to be relevant to you based on your advertising ID engagement with other brands and ads, also recorded using your advertising ID and using your general geographic area.|||Other brands buy advertisement placement via an ad network or ad exchange to advertise their products in Our Games.|||The ad network or ad exchange acts as intermediary between the other game companies and Us.|||In order for an ad network to charge the company buying the ad, clicks from the ad and potentially installs of other developers’ applications party apps are tracked.|||Views, clicks, and installs from ads are measured using Advertiser ID; ; keep track what games you have used to market you similar kind of games.|||IP-address is typically used by advertisers to broadly see the general geographic area you are coming from for example country, state, and sometimes at city level).
778	3	We also advertise Games in other apps by asking ad networks to serve them to audiences that will be interested in them (determined using Advertising IDs).	We also advertise Games in other apps by asking ad networks to serve them to audiences that will be interested in them (determined using Advertising IDs).
779	3	The Advertising IDs are used by the ad networks for a number of purposes (please refer to the Privacy Notices of our advertising partners listed “Third Parties”) including: ; measuring ad effectiveness (looking at aggregated views, clicks and installs they generate through their advertising in other publishers’ games); ; informing players, that have not been playing for a while, about new content in the Game. We give a list of these users in the form of Advertising IDs to an ad network. Ad network then shows these users ads about the new content.	The Advertising IDs are used by the ad networks for a number of purposes (please refer to the Privacy Notices of our advertising partners listed “Third Parties”) including: ; measuring ad effectiveness (looking at aggregated views, clicks and installs they generate through their advertising in other publishers’ games); ; informing players, that have not been playing for a while, about new content in the Game.|||We give a list of these users in the form of Advertising IDs to an ad network.|||Ad network then shows these users ads about the new content.
780	3	not showing ads on a game which a player is already playing. We can send a list of active players in the form of Advertising IDs to an ad network. Ad network then excludes these players from seeing the ad.	not showing ads on a game which a player is already playing.|||We can send a list of active players in the form of Advertising IDs to an ad network.|||Ad network then excludes these players from seeing the ad.
781	3	Please see the following list of advertising providers that are allowed to show interest-based advertising and review their data processing practices, including the technologies they use for the purposes of interest-based advertising. ; Google (AdMob) -url-; -url- ; Facebook Audience Network -url- ; Unity Ads -url-	Please see the following list of advertising providers that are allowed to show interest-based advertising and review their data processing practices, including the technologies they use for the purposes of interest-based advertising.|||Google (AdMob) -url-; -url- ; Facebook Audience Network -url- ; Unity Ads -url-
782	4	You have an option to withdraw your consent to sharing your personal information for the purposes of interest-based advertising at all times. You can withdraw your consent by checking the privacy settings of your Android or iOS device and selecting “limit ad tracking” (Apple iOS) or “opt-out of interest based ads” (Android).	You have an option to withdraw your consent to sharing your personal information for the purposes of interest-based advertising at all times.|||You can withdraw your consent by checking the privacy settings of your Android or iOS device and selecting “limit ad tracking” (Apple iOS) or “opt-out of interest based ads” (Android).
783	4	iOS ; Open the “Settings” application of iOS and select the “Privacy” menu item and then the “Advertising” sub-item. If you activate the “Limit ad tracking” option, we can only take limited measures such as identifying unique users or combating fraud. In the same menu you can always delete the IDFA (“Reset Ad-ID”), then a new ID is created which is not merged with the data collected earlier.	iOS ; Open the “Settings” application of iOS and select the “Privacy” menu item and then the “Advertising” sub-item.|||If you activate the “Limit ad tracking” option, we can only take limited measures such as identifying unique users or combating fraud.|||In the same menu you can always delete the IDFA (“Reset Ad-ID”), then a new ID is created which is not merged with the data collected earlier.
784	4	Android ; Open the “Settings” application and select the “Google” menu item. Depending on your device, this option may not be visible on the main menu but you may use the search function at the top of the Settings menu to find it. From there, select the “Ads” sub-item and activate the option “Opt out of Ads Personalisation” to prevent the creation of profiles and the display of interest-based advertising. You can delete the advertising ID in the same menu at any time (“Reset advertising ID”), then a new ID will be created which will not be merged with the previously collected data.	Android ; Open the “Settings” application and select the “Google” menu item.|||Depending on your device, this option may not be visible on the main menu but you may use the search function at the top of the Settings menu to find it.|||From there, select the “Ads” sub-item and activate the option “Opt out of Ads Personalisation” to prevent the creation of profiles and the display of interest-based advertising.|||You can delete the advertising ID in the same menu at any time (“Reset advertising ID”), then a new ID will be created which will not be merged with the previously collected data.
785	3	Some of our Games use third-party services such as Google Play Games Service, Apple Game Center, Facebook (“Third Party Social Network/s”). Such Games enable you to log in to your Third-Party Social Network account to connect our App by using the “Log in” feature in our App. You may also share the content you create within the App on Third-Party Social Networks. Please note, Third Party Social Networks are governed by their own privacy policies, terms and end-user agreements and we are not responsible for and have no control over, the sharing practices or policies of the third parties that operate those sites.	Some of our Games use third-party services such as Google Play Games Service, Apple Game Center, Facebook (“Third Party Social Network/s”).|||Such Games enable you to log in to your Third-Party Social Network account to connect our App by using the “Log in” feature in our App.|||You may also share the content you create within the App on Third-Party Social Networks.|||Please note, Third Party Social Networks are governed by their own privacy policies, terms and end-user agreements and we are not responsible for and have no control over, the sharing practices or policies of the third parties that operate those sites.
786	1	The information you allow us to access varies by App and is affected by the privacy settings you establish on those Third-Party Social Networks. You can control and find out more about these settings from the Third-Party Social Network in question. When you use the “Log in” feature, we may access and store some or all of the following information, as allowed by you, Third-Party Social Networks and your preferences: (i) your basic information from your public profile, such as your nickname, profile picture; (ii) login ID and/or player identifier string; (iii) list of your friends; (iv) any other information which is detailed and displayed to you in the notice which appears during the “Log in with” process. We may share your name and your game data (such as moves, Game progress and scores) with respect to the applicable App, with your friends who have also used the “Log in with” or “Connect to” feature in connection with such App or with your contacts in applicable Third-Party Social Media Network account.	The information you allow us to access varies by App and is affected by the privacy settings you establish on those Third-Party Social Networks.|||You can control and find out more about these settings from the Third-Party Social Network in question.|||When you use the “Log in” feature, we may access and store some or all of the following information, as allowed by you, Third-Party Social Networks and your preferences: (i) your basic information from your public profile, such as your nickname, profile picture; (ii) login ID and/or player identifier string; (iii) list of your friends; (iv) any other information which is detailed and displayed to you in the notice which appears during the “Log in with” process.|||We may share your name and your game data (such as moves, Game progress and scores) with respect to the applicable App, with your friends who have also used the “Log in with” or “Connect to” feature in connection with such App or with your contacts in applicable Third-Party Social Media Network account.
787	1	The App may further ask you to allow us to post on such Third-Party Social Networks on your behalf (e.g. status updates). Please keep in mind that we will only do that if specifically allowed by you and we will store ID and your full name for the purposes of user identification. Other information will be merely stored within the App on your device so that the App will be able to communicate with Third Party Social Network directly.	The App may further ask you to allow us to post on such Third-Party Social Networks on your behalf (e.g.|||status updates).|||Please keep in mind that we will only do that if specifically allowed by you and we will store ID and your full name for the purposes of user identification.|||Other information will be merely stored within the App on your device so that the App will be able to communicate with Third Party Social Network directly.
788	4	If you use Third-Party Social Networks to participate in game-related activities, such as leaderboards and multiplayer games, you share your information with other players and Third-Party Social Networks (for example, scores, rankings, and achievements).	If you use Third-Party Social Networks to participate in game-related activities, such as leaderboards and multiplayer games, you share your information with other players and Third-Party Social Networks (for example, scores, rankings, and achievements).
789	2	Cookies are files with small amount of data, which may include an anonymous unique identifier. Cookies are sent to your browser from a website and stored on your computer’s hard drive.	Cookies are files with small amount of data, which may include an anonymous unique identifier.|||Cookies are sent to your browser from a website and stored on your computer’s hard drive.
790	2	We use “cookies” to collect information. You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent. However, if you do not accept cookies, you may not be able to use some options of our Service.	We use “cookies” to collect information.|||You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent.|||However, if you do not accept cookies, you may not be able to use some options of our Service.
791	8	Our Service does not address anyone under the age of 16 (“Children”). When we collect personal information, we do not know the age of our players. We do not knowingly collect personally identifiable information from children under 16. If you are a parent or guardian and you are aware that your Children has provided us with Personal Information, please contact us. If we become aware that we have collected Personal Information from a child under age 16 without verification of parental consent, we will take steps to remove that information from our servers.	Our Service does not address anyone under the age of 16 (“Children”).|||When we collect personal information, we do not know the age of our players.|||We do not knowingly collect personally identifiable information from children under 16.|||If you are a parent or guardian and you are aware that your Children has provided us with Personal Information, please contact us.|||If we become aware that we have collected Personal Information from a child under age 16 without verification of parental consent, we will take steps to remove that information from our servers.
792	4	Opt-out of marketing emails and other direct marketing.	Opt-out of marketing emails and other direct marketing.
793	4	You may opt-out of receiving promotional communications, such as marketing emails from us by following the instructions in such communications.	You may opt-out of receiving promotional communications, such as marketing emails from us by following the instructions in such communications.
795	4	You can opt-out of interest-based advertising on mobile applications by checking the privacy settings of your Android or iOS device and selecting “limit ad tracking” (Apple iOS) or “opt-out of interest based ads” (Android). For more information, see the operation instruction on the “HOW CAN YOU TURN OFF INTEREST-BASED ADS” part	You can opt-out of interest-based advertising on mobile applications by checking the privacy settings of your Android or iOS device and selecting “limit ad tracking” (Apple iOS) or “opt-out of interest based ads” (Android).|||For more information, see the operation instruction on the “HOW CAN YOU TURN OFF INTEREST-BASED ADS” part
796	4	Access the personal data we hold about you.	Access the personal data we hold about you.
797	4	If you request, we will provide you a copy of your personal data in an electronic format.	If you request, we will provide you a copy of your personal data in an electronic format.
799	4	You also have the right to correct your data, have your data deleted, object how we use or share your data, and restrict how we use or share your data. You can always withdraw your consent, for example by turning off GPS location sharing in your mobile device settings.	You also have the right to correct your data, have your data deleted, object how we use or share your data, and restrict how we use or share your data.|||You can always withdraw your consent, for example by turning off GPS location sharing in your mobile device settings.
800	4	We will respond to all requests within a reasonable timeframe. If you have an unresolved privacy or data use concern that we have not addressed satisfactorily, please contact us by using the contact information on the “Contact Us” part.	We will respond to all requests within a reasonable timeframe.|||If you have an unresolved privacy or data use concern that we have not addressed satisfactorily, please contact us by using the contact information on the “Contact Us” part.
801	5	Your information privacy and security is important to us and we always pay special attention to ensure that we process your information lawfully in accordance with one of the legal bases set out under EEA data protection laws that apply to EEA users. We have appointed data protection officer to help us ensure compliance with EEA data protection laws. We store your information for as long as needed to provide you with our services. We may store information longer, but only in a way that it cannot be tracked back to you. We operate globally and we share your information with our Partners as for the purposes described above in “How We Share Your Information” Section, which may include a transfer of your personal information outside of the European Economic Area (the “EEA”). Please check regularly for changes to our Privacy Policy.	Your information privacy and security is important to us and we always pay special attention to ensure that we process your information lawfully in accordance with one of the legal bases set out under EEA data protection laws that apply to EEA users.|||We have appointed data protection officer to help us ensure compliance with EEA data protection laws.|||We store your information for as long as needed to provide you with our services.|||We may store information longer, but only in a way that it cannot be tracked back to you.|||We operate globally and we share your information with our Partners as for the purposes described above in “How We Share Your Information” Section, which may include a transfer of your personal information outside of the European Economic Area (the “EEA”).|||Please check regularly for changes to our Privacy Policy.
802	1	In each case where we process your information, we do so lawfully in accordance with one of the legal bases set out under EEA data protection law.	In each case where we process your information, we do so lawfully in accordance with one of the legal bases set out under EEA data protection law.
803	1	The legal bases that we rely upon are the following:	The legal bases that we rely upon are the following:
804	1	Contractual Necessity.This covers information that is processed by us in order to provide you with service that you have requested – and that we have agreed – to provide to you, that is to deliver and improve our services, to provide customer support, to deliver special features in our Games (such as in-app chat feature, multiplayer feature, leaderboards and other third-party social network features), to deliver content of the in-app purchase you make.	Contractual Necessity.This covers information that is processed by us in order to provide you with service that you have requested – and that we have agreed – to provide to you, that is to deliver and improve our services, to provide customer support, to deliver special features in our Games (such as in-app chat feature, multiplayer feature, leaderboards and other third-party social network features), to deliver content of the in-app purchase you make.
805	1	Legitimate Interests.This covers information that is processed by us for the purposes that can be reasonably expected within the context of your use of our services to pursue our legitimate interests in order to ensure you have the best experience when playing our apps, to make sure your information is secure and to provide to you our Games free of charge or at a low cost. We pay special attention to your data protection rights making sure that your data protection rights are not overridden by our legitimate interests. We rely on our legitimate interests for data processing for analytics, tracking and fraud prevention, push-notifications, cross-promotion, and contextual advertising purposes.	Legitimate Interests.This covers information that is processed by us for the purposes that can be reasonably expected within the context of your use of our services to pursue our legitimate interests in order to ensure you have the best experience when playing our apps, to make sure your information is secure and to provide to you our Games free of charge or at a low cost.|||We pay special attention to your data protection rights making sure that your data protection rights are not overridden by our legitimate interests.|||We rely on our legitimate interests for data processing for analytics, tracking and fraud prevention, push-notifications, cross-promotion, and contextual advertising purposes.
806	1	Where we ask for your consent to use your data for a particular purpose, we will make this clear at the point of collection and we will also make clear how you can withdraw your consent. We will ask for you consent before sharing any information with our advertising partners for the purposes of interest-based advertising and before conducting any surveys.	Where we ask for your consent to use your data for a particular purpose, we will make this clear at the point of collection and we will also make clear how you can withdraw your consent.|||We will ask for you consent before sharing any information with our advertising partners for the purposes of interest-based advertising and before conducting any surveys.
807	1	Legal Obligation.This covers information that is processed by us to comply with a legal obligation, for instance, is to maintain records for tax purposes.	Legal Obligation.This covers information that is processed by us to comply with a legal obligation, for instance, is to maintain records for tax purposes.
808	5	We have implemented appropriate technical and organizational measures to protect the confidentiality, security and integrity of the collected information, and to prevent unauthorized access and the use of information contrary to this Privacy Policy. Although we use commercially reasonable efforts to assure that your information remains secure when maintained by us, please be aware that no security measures are perfect or impenetrable.	We have implemented appropriate technical and organizational measures to protect the confidentiality, security and integrity of the collected information, and to prevent unauthorized access and the use of information contrary to this Privacy Policy.|||Although we use commercially reasonable efforts to assure that your information remains secure when maintained by us, please be aware that no security measures are perfect or impenetrable.
809	7	Your personal information may be transferred to and processed in countries other than the country in which you are resident. These countries may have data protection laws that are different to the laws of your country.	Your personal information may be transferred to and processed in countries other than the country in which you are resident.|||These countries may have data protection laws that are different to the laws of your country.
810	7	This means that when we collect your personal information, we may process it in other countries. However, we ensure appropriate safeguards are in place so that your personal information will remain protected in accordance with this Privacy Notice. These include implementing the European Commission’s Standard Contractual Clauses for transfers of personal information between us and third party service providers and partners, which require us to protect personal information they process from the EEA in accordance with European Union data protection law. It also includes transferring personal information to third party service providers and partners which are certified under the EU-US Privacy Shield.	This means that when we collect your personal information, we may process it in other countries.|||However, we ensure appropriate safeguards are in place so that your personal information will remain protected in accordance with this Privacy Notice.|||These include implementing the European Commission’s Standard Contractual Clauses for transfers of personal information between us and third party service providers and partners, which require us to protect personal information they process from the EEA in accordance with European Union data protection law.|||It also includes transferring personal information to third party service providers and partners which are certified under the EU-US Privacy Shield.
811	6	We store your information for as long as needed to provide you with our services. We may store information longer, but only in a way that it cannot be tracked back to you. We delete the information as soon as we do not need it for the purposes as described in this Privacy Policy and in any event no later than five (5) years after your interaction with all of our Games has ceased.	We store your information for as long as needed to provide you with our services.|||We may store information longer, but only in a way that it cannot be tracked back to you.|||We delete the information as soon as we do not need it for the purposes as described in this Privacy Policy and in any event no later than five (5) years after your interaction with all of our Games has ceased.
812	6	When required by law, we will retain your information for as long as we are legally obligated to do so. If you request us to delete your data, we will delete your data as described above in “Your Rights” Section.	When required by law, we will retain your information for as long as we are legally obligated to do so.|||If you request us to delete your data, we will delete your data as described above in “Your Rights” Section.
813	8	We do not knowingly collect or solicit personal data about or direct or target interest based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.  If you are under 13, please do not send any data about yourself to us, including your name, address, telephone number, or email address.  No one under the age of 13 may provide any personal data.  If we learn that we have collected personal data about a child under age 13, we will delete that data as quickly as possible.  If you believe that we might have any data from or about a child under the age of 13, please contact us.	We do not knowingly collect or solicit personal data about or direct or target interest based advertising to anyone under the age of 13 or knowingly allow such persons to use our Services.|||If you are under 13, please do not send any data about yourself to us, including your name, address, telephone number, or email address.|||No one under the age of 13 may provide any personal data.|||If we learn that we have collected personal data about a child under age 13, we will delete that data as quickly as possible.|||If you believe that we might have any data from or about a child under the age of 13, please contact us.
814	9	We will occasionally update this Privacy Policy as necessary to protect our users, furnish current information, and respond to legal and technical changes. The most current version of the Privacy Policy will govern our use of your information and will be available at -url-.	We will occasionally update this Privacy Policy as necessary to protect our users, furnish current information, and respond to legal and technical changes.|||The most current version of the Privacy Policy will govern our use of your information and will be available at -url-.
815	10	If you have questions or concerns about this Privacy Policy, please contact us via our email: -email- ; Address: 908#, 21 area KeJiYuan, NS district, SZ, China	If you have questions or concerns about this Privacy Policy, please contact us via our email: -email- ; Address: 908#, 21 area KeJiYuan, NS district, SZ, China
816	0	These terms apply to the use of games and other products developed by Kwalee Limited (‘Kwalee’ / ‘we’ / ‘us’). Our registered office is at Kwalee Ltd (c/o Ricardo), Midlands Technical Centre, Southam Road, Radford Semele, Leamington Spa CV31 1FQ. We are a company registered in England, with company number 07648078.	These terms apply to the use of games and other products developed by Kwalee Limited (‘Kwalee’ / ‘we’ / ‘us’).|||Our registered office is at Kwalee Ltd (c/o Ricardo), Midlands Technical Centre, Southam Road, Radford Semele, Leamington Spa CV31 1FQ.|||We are a company registered in England, with company number 07648078.
817	0	"This privacy and data policy (“Privacy Policy”) applies and has effect in respect of all games, related online services (including online network play connectivity and interactivity) and other software and products made available by us (together the ""Game(s)""), as well as any other online features relating to the Games including our website (-url-).  Together the Game(s) and the Website are referred to as the “Online Services”."	"This privacy and data policy (“Privacy Policy”) applies and has effect in respect of all games, related online services (including online network play connectivity and interactivity) and other software and products made available by us (together the ""Game(s)""), as well as any other online features relating to the Games including our website (-url-).|||Together the Game(s) and the Website are referred to as the “Online Services”."
818	10	If you have any questions or comments about this Privacy Policy, please contact us at -email-	If you have any questions or comments about this Privacy Policy, please contact us at -email-
819	0	We are committed to protecting and respecting your privacy.  The Privacy Policy explains the basis on which personal information we collect from you will be processed by us or on our behalf. Where we decide the purpose or means for which personal data you supply through these Online Services is processed, we are the “data controller.” We will comply with all applicable data protection laws, including the General Data Protection Regulation 2016/679.	We are committed to protecting and respecting your privacy.|||The Privacy Policy explains the basis on which personal information we collect from you will be processed by us or on our behalf.|||Where we decide the purpose or means for which personal data you supply through these Online Services is processed, we are the “data controller.” We will comply with all applicable data protection laws, including the General Data Protection Regulation 2016/679.
820	0	Please read this Privacy Policy carefully as it contains important information about the following: ; What information we may collect about you; ; How we will use information we collect about you; ; Whether we will disclose your details to anyone else; and ; Your choices and rights regarding the personal information you have provided to us.	Please read this Privacy Policy carefully as it contains important information about the following: ; What information we may collect about you; ; How we will use information we collect about you; ; Whether we will disclose your details to anyone else; and ; Your choices and rights regarding the personal information you have provided to us.
821	9	We may make changes to this Privacy Policy in future, which will be posted on this page. You should check this page from time to time to ensure you are aware of any changes. Where appropriate we may notify you of changes through the Games.	We may make changes to this Privacy Policy in future, which will be posted on this page.|||You should check this page from time to time to ensure you are aware of any changes.|||Where appropriate we may notify you of changes through the Games.
822	1	We collect and process the following information which may include your personal data.   ; Information provided by you when using the Games ; (“Basic Information”) ; We will collect the following information from you when you play our Games: ; a unique pseudonymous identifier for you (User ID); ; your user preferences; and ; anonymous core information milestones related to your gameplay, such as the completion  of certain  activities  during your gameplay.	We collect and process the following information which may include your personal data.|||Information provided by you when using the Games ; (“Basic Information”) ; We will collect the following information from you when you play our Games: ; a unique pseudonymous identifier for you (User ID); ; your user preferences; and ; anonymous core information milestones related to your gameplay, such as the completion  of certain  activities  during your gameplay.
824	1	Through our third party advertising network partners, we may gather information about your devices when you install or play our Games, depending on the permissions you’ve granted. This may include: ; the make, model and operating system of your device; ; properties of your device, such as screen size and orientation, audio volume and battery; ; the mobile network operator linked to your device; ; the Games played; ; the country, time zone and locale settings on your device (i.e. country and preferred language); ; network connection type and speed; ; IP Address; ; MAC address; ; internet browser used to access the Games; and ; the advertiser ID, which is an identifier unique to you if you use an Apple or Android device, but which doesn’t reveal your name.	Through our third party advertising network partners, we may gather information about your devices when you install or play our Games, depending on the permissions you’ve granted.|||This may include: ; the make, model and operating system of your device; ; properties of your device, such as screen size and orientation, audio volume and battery; ; the mobile network operator linked to your device; ; the Games played; ; the country, time zone and locale settings on your device (i.e.|||country and preferred language); ; network connection type and speed; ; IP Address; ; MAC address; ; internet browser used to access the Games; and ; the advertiser ID, which is an identifier unique to you if you use an Apple or Android device, but which doesn’t reveal your name.
825	1	We may collect technical information about your use of the Online Services through the use of tracking technologies and analytics.	We may collect technical information about your use of the Online Services through the use of tracking technologies and analytics.
826	1	Personal data we may collect includes the following: ; your mobile device’s unique device ID (“Device ID”); ; your User ID (which is generated by us and allocated to you when you first play our games); ; your device operating system & version; ; your device make and model; ; game play attempts, progression and results; ; session game time start, end and duration; ; purchase transaction types (for TENS Tournament only); ; the country of your Device; ; the time, date and install source of your first download (e.g. from a clicked advertisement); ; advertisements viewed and clicked; and ; identification of crashes and defects.	Personal data we may collect includes the following: ; your mobile device’s unique device ID (“Device ID”); ; your User ID (which is generated by us and allocated to you when you first play our games); ; your device operating system & version; ; your device make and model; ; game play attempts, progression and results; ; session game time start, end and duration; ; purchase transaction types (for TENS Tournament only); ; the country of your Device; ; the time, date and install source of your first download (e.g.|||from a clicked advertisement); ; advertisements viewed and clicked; and ; identification of crashes and defects.
